origin_geoid,GEOID,closest_pcs_id,closest_pcs_lat,closest_pcs_lon,closest_pcs_dist_km,closest_pcs_dist_mi,most_visited_pcs_id,most_visited_pcs_visit_pct,most_visited_pcs_lat,most_visited_pcs_lon,visit_pct_total,top_pois_at_most_visited_pcs
171118708071,171118708071,46811,42.226647,-88.306745,4.2977,2.6705,154393.0,0.0147424263576713,41.886578,-87.632776,0.1322909395504677,One Parking|Parking Lots and Garages|0.000056; Halsted Street Deli|Limited-Service Restaurants|0.000056; Magenic|None|0.000056
171118708072,171118708072,46811,42.226647,-88.306745,2.8108,1.7465,78523.0,0.011988149072197,41.882368,-87.642179,0.1641415874005925,Hudson's Booksellers|Book Stores|0.000268; Accenture Tower|Malls|0.000268; Deep Purpl|Snack and Nonalcoholic Beverage Bars|0.000268
171118708073,171118708073,46811,42.226647,-88.306745,3.6927,2.2945,,,,,,
171118708081,171118708081,46811,42.226647,-88.306745,3.4111,2.1195,78523.0,0.016889724081034,41.882368,-87.642179,0.1701760014666788,Hudson's Booksellers|Book Stores|0.000193; Accenture Tower|Malls|0.000193; Deep Purpl|Snack and Nonalcoholic Beverage Bars|0.000193
171118708082,171118708082,46811,42.226647,-88.306745,2.0224,1.2566,117323.0,0.0145724627462041,41.974953,-87.8670845,0.1226571576310682,Tory Burch (Tory Burch)|Women's Clothing Stores|0.000228; Pandora (Pandora)|Jewelry Stores|0.000208; Superdry (Superdry)|Family Clothing Stores|0.000208
171118708092,171118708092,147799,42.223611509022,-88.268998861313,2.8375,1.7631,169013.0,0.075559654225402,41.882312,-87.630943,0.2293442240846397,Galmont Consulting|None|0.000238; Alternative Solutions Consulting LLC|None|0.000238; Board of Election Commissioners|None|0.000238
171118708093,171118708093,147799,42.223611509022,-88.268998861313,5.5615,3.4557,,,,,,
171118708101,171118708101,147799,42.223611509022,-88.268998861313,8.1207,5.046,322581.0,0.0877242223979995,41.895335,-87.622092,0.2281646296343548,Walgreens (Walgreens)|Pharmacies and Drug Stores|0.000383; Cybulski George R MD|Offices of Physicians (except Mental Health Specialists)|0.000383; Robert A Rosenbaum MD|Offices of Physicians (except Mental Health Specialists)|0.000383
171118708102,171118708102,147799,42.223611509022,-88.268998861313,5.9204,3.6787,262632.0,0.0295234293382708,42.01231,-87.74176,0.2251458759778149,BRC Access Care|Home Health Care Services|0.001444; Uptown Nephrology|Offices of Physicians (except Mental Health Specialists)|0.001444; Yeung James K MD|Offices of Physicians (except Mental Health Specialists)|0.001444
171118708103,171118708103,147799,42.223611509022,-88.268998861313,4.2221,2.6235,151747.0,0.0164528045105472,41.8856135,-87.63075645,0.2016136871779916,Pekin Singer Strauss Asset Management|Investment Advice|0.000109; Blacha Law Office LLC|Courts|0.000109; Wise Morrissey|Offices of Lawyers|0.000109
171118708111,171118708111,218164,42.260101,-88.141775,8.911,5.537,72432.0,0.0103694333336302,41.880947,-87.636038,0.2372319670743766,Colliers|Residential Property Managers|0.000053; Plus One Fitness|Fitness and Recreational Sports Centers|0.000053; Smith Kerry T|Offices of Mental Health Practitioners (except Physicians)|0.000053
171118708112,171118708112,218164,42.260101,-88.141775,7.0331,4.3702,169013.0,0.0625170129752291,41.882312,-87.630943,0.3118591779330369,Galmont Consulting|None|0.000106; Shkalix|None|0.000106; C 4 Analytics|None|0.000106
171118708113,171118708113,218164,42.260101,-88.141775,5.7312,3.5612,319632.0,0.0253067099603327,41.892043,-87.621646,0.2220864645923644,Bri Test|None|0.000921; Consulate General of The Republic of Serbia|None|0.000921; Pawstreet Pets|Pet Care (except Veterinary) Services|0.000921
171118708121,171118708121,218164,42.260101,-88.141775,6.4421,4.0029,213167.0,0.0693550127702435,42.1780903,-88.3996337,0.1545858963751693,Northwestern Medicine Huntley Hospital Emergency Department|General Medical and Surgical Hospitals|0.000803; Centegra Hospital Huntley|General Medical and Surgical Hospitals|0.000803; Bluhm Cardiovascular Institute at Huntley Hospital|Offices of Physicians (except Mental Health Specialists)|0.000803
171118708122,171118708122,218164,42.260101,-88.141775,5.4058,3.359,53685.0,0.0234258595000275,42.184825,-87.799718,0.1879863142210694,Barbara Tarr|Offices of Real Estate Agents and Brokers|0.001159; Eve Tarm Coldwell Banker Realty|Offices of Real Estate Agents and Brokers|0.001159; Fenchel Stephen DDS|Offices of Dentists|0.000414
171118708123,171118708123,262104,42.2037199,-88.2299762,5.6523,3.5122,80236.0,0.0222519792578049,41.881597,-87.636514,0.2776509250762894,Chicago Fundamental Investment Partners|Investment Advice|0.000261; Farmer's Fridge|Limited-Service Restaurants|0.000261; Fannie Mae Midwestern Regional Office|Mortgage and Nonmortgage Loan Brokers|0.000261
171118708124,171118708124,262104,42.2037199,-88.2299762,7.9558,4.9435,78523.0,0.0349505993565103,41.882368,-87.642179,0.1829389823752171,Hudson's Booksellers|Book Stores|0.000399; Accenture Tower|Malls|0.000399; Deep Purpl|Snack and Nonalcoholic Beverage Bars|0.000399
171118708131,171118708131,46811,42.226647,-88.306745,8.6279,5.3611,,,,,,
171118708132,171118708132,46811,42.226647,-88.306745,9.0267,5.6089,,,,,,
171118708133,171118708133,46811,42.226647,-88.306745,5.2961,3.2908,,,,,,
171118708141,171118708141,46811,42.226647,-88.306745,9.6192,5.9771,,,,,,
171118708142,171118708142,46811,42.226647,-88.306745,6.3792,3.9639,,,,,,
171118709061,171118709061,46811,42.226647,-88.306745,7.1663,4.4529,,,,,,
171118709063,171118709063,213167,42.1780903,-88.3996337,10.0473,6.2431,,,,,,
171118711051,171118711051,46811,42.226647,-88.306745,4.5753,2.8429,213167.0,0.0156190657045195,42.1780903,-88.3996337,0.1513759653120648,Northwestern Medicine Huntley Hospital Emergency Department|General Medical and Surgical Hospitals|0.000265; Avinish Reddy MD|Offices of Physicians (except Mental Health Specialists)|0.000265; Bahaa Al Azzam MD|Offices of Physicians (except Mental Health Specialists)|0.000265
171118711052,171118711052,46811,42.226647,-88.306745,5.4105,3.3619,213167.0,0.0183497992768271,42.1780903,-88.3996337,0.0903111920963471,Auto Tech Centers Huntley|General Automotive Repair|0.000527; Northwestern Medicine Huntley Hospital Emergency Department|General Medical and Surgical Hospitals|0.000242; Avinish Reddy MD|Offices of Physicians (except Mental Health Specialists)|0.000242
171118711053,171118711053,154807,42.1798635,-88.3334365,5.1239,3.1838,322581.0,0.0436866483184533,41.895335,-87.622092,0.158716520104719,Walgreens (Walgreens)|Pharmacies and Drug Stores|0.000201; Cybulski George R MD|Offices of Physicians (except Mental Health Specialists)|0.000201; Robert A Rosenbaum MD|Offices of Physicians (except Mental Health Specialists)|0.000201
171118711054,171118711054,154807,42.1798635,-88.3334365,4.0551,2.5197,,,,,,
171118711071,171118711071,154807,42.1798635,-88.3334365,2.7533,1.7108,202789.0,0.0286238784961636,41.883001,-87.634264,0.254351902434703,See Thru US Vision Center|Offices of Optometrists|0.000241; Hough John W Atty|Offices of Lawyers|0.000241; Blake Cassels and Graydon|Offices of Lawyers|0.000241
171118711072,171118711072,224563,42.17117032,-88.33661234,2.0472,1.2721,169013.0,0.0159011075665794,41.882312,-87.630943,0.2590012186816732,Galmont Consulting|None|0.000054; Shkalix|None|0.000054; C 4 Analytics|None|0.000054
171118711073,171118711073,302291,42.163028,-88.336198,2.1188,1.3166,,,,,,
